Age,Experience,Salary
58,13,720456
48,39,1853367
34,21,718624
27,10,230106
40,22,898008
58,0,22240
38,36,1382315
42,20,859249
30,25,770587
30,35,1010756
43,22,964011
55,0,-13622
59,39,2255255
43,14,566484
22,20,446549
41,8,312503
21,8,191794
43,9,382113
49,25,1249069
57,34,1986117
21,24,459249
40,25,969201
52,10,528576
31,37,1106686
41,1,44363
44,6,311543
46,17,732661
47,26,1216843
35,33,1200673
34,26,894963
22,16,344828
56,23,1286604
26,24,584526
40,6,258910
28,5,115592
58,23,1312982
37,32,1134207
23,28,682733
44,21,972936
33,25,843619
28,27,735328
45,20,896479
21,6,96103
39,16,613891
47,19,853754
26,19,543983
27,21,598437
54,27,1506540
33,39,1309982
36,6,221922
55,0,-1769
59,31,1808301
23,12,317652
21,29,621711
25,22,541323
23,18,382752
48,31,1535912
37,29,1105205
45,28,1308452
53,28,1447395
29,29,876957
55,15,831273
33,39,1328878
50,18,854895
34,17,604559
27,0,-39301
33,13,444061
42,1,1715
59,27,1562169
40,29,1126163
35,37,1250782
37,3,149177
43,0,34328
45,7,300585
44,28,1212682
48,38,1821864
34,2,102416
20,31,625114
44,9,384067
26,9,226685
28,18,472073
43,33,1405035
20,32,654977
27,22,634373
43,27,1194362
30,31,970517
36,6,231450
27,28,716382
54,7,332437
54,0,20971
52,2,118612
24,23,592355
58,22,1287929
47,7,376518
26,36,984864
28,2,18329
27,32,839169
31,27,874468
53,7,355594
52,33,1742957
42,34,1438631
43,31,1328033
56,23,1301133
54,13,725165
59,31,1852861
41,15,617290
46,3,182031
54,36,1925750
20,20,445155
54,13,692461
56,30,1703800
33,17,589222
22,6,106226
20,9,136721
24,6,150154
45,32,1410609
33,22,728130
58,20,1182909
46,18,833249
28,18,502895
34,35,1234473
34,28,907656
45,17,789520
32,1,45740
51,0,14309
58,4,211984
51,19,992822
23,10,185901
49,1,30552
56,2,153245
42,22,905055
58,11,625685
34,19,669965
48,4,156716
55,36,1941138
32,37,1169298
51,29,1480112
26,8,181429
41,33,1353200
47,34,1619308
21,21,439244
25,23,542347
47,16,718920
47,9,404822
39,29,1127659
49,22,1068108
30,31,969099
47,16,709967
44,16,665871
58,13,798299
52,8,443452
20,39,804270
46,1,29613
32,24,746179
22,38,838188
58,8,469099
25,21,510262
27,3,109213
46,25,1118268
28,28,811866
56,33,1884269
52,22,1154545
43,36,1590822
34,10,362146
51,5,276966
51,17,856922
43,20,889364
31,35,1077913
58,37,2193033
21,33,698677
22,16,351841
56,36,2012332
36,24,906062
21,37,822694
21,11,206032
47,22,1021846
42,21,891474
56,20,1114936
51,26,1305794
52,30,1571588
20,5,120984
38,26,988331
21,39,863397
45,33,1463141
51,11,520074
25,6,106406
51,9,506359
23,16,341291
30,25,741568
36,20,767539
57,27,1535851
43,1,92942
24,0,4823
53,35,1828312
25,25,618108
41,28,1164918
30,20,584171
35,10,341779
52,39,2046828
28,10,328723
25,35,837411
35,38,1337009
48,39,1837422
22,34,740468
39,33,1269371
55,23,1272022
38,21,819229
45,4,229071
22,32,705196
38,35,1360354
39,19,787774
51,18,964410
26,34,860715
52,16,809605
59,33,1996853
58,8,445174
37,25,884956
59,1,85373
20,8,179252
30,8,251949
47,39,1845646
44,16,724017
42,0,13037
50,24,1239818
49,39,1867548
