cgpa,score,placed
6.5,7.79,0
8.8,7.14,1
7.93,6.24,1
7.39,8.26,1
5.62,7.74,1
5.62,5.65,1
5.23,8.64,1
8.46,8.29,1
7.4,8.8,0
7.83,7.9,1
5.08,7.45,0
8.88,6.67,1
8.33,8.73,1
5.85,8.46,0
5.73,5.18,1
5.73,5.11,1
6.22,6.51,0
7.1,8.24,1
6.73,8.95,1
6.16,5.6,0
7.45,7.38,1
5.56,6.52,0
6.17,8.88,1
6.47,8.37,1
6.82,8.35,1
8.14,6.87,1
5.8,6.66,1
7.06,6.09,1
7.37,5.23,0
5.19,8.46,1
7.43,8.25,0
5.68,9.0,1
5.26,8.99,0
8.8,7.22,0
8.86,8.08,0
8.23,8.78,1
6.22,8.4,0
5.39,5.99,1
7.74,6.8,0
6.76,5.52,0
5.49,8.82,1
6.98,7.42,1
5.14,5.91,0
8.64,7.69,1
6.04,7.47,1
7.65,6.43,1
6.25,5.45,0
7.08,7.69,0
7.19,7.08,1
5.74,8.09,0
8.88,7.08,1
8.1,8.41,1
8.76,7.21,1
8.58,7.24,1
7.39,8.51,1
8.69,6.61,0
5.35,5.54,1
5.78,5.12,1
5.18,8.02,1
6.3,7.48,1
6.55,7.82,1
6.09,5.85,1
8.31,5.55,1
6.43,5.06,1
6.12,6.4,1
7.17,7.36,1
5.56,6.57,0
8.21,6.75,0
5.3,8.62,0
8.95,6.39,0
8.09,7.06,0
5.79,8.13,0
5.02,6.59,0
8.26,7.49,0
7.83,8.45,1
7.92,8.8,1
8.09,5.59,0
5.3,8.71,1
6.43,6.97,0
5.46,6.03,1
8.45,6.84,1
7.49,8.92,0
6.32,6.97,1
5.25,6.32,1
6.24,7.53,1
6.3,5.96,1
7.92,5.3,1
7.55,5.52,0
8.55,5.51,1
6.89,5.61,0
5.48,5.56,1
7.85,7.56,1
8.04,5.73,1
7.25,6.38,1
8.08,8.59,0
6.98,6.9,0
7.09,7.67,0
6.71,5.69,0
5.1,5.77,1
5.43,5.16,0
5.13,5.68,0
7.55,6.11,1
6.26,5.71,1
7.03,5.35,1
8.63,5.48,1
6.0,6.84,0
6.64,5.83,0
8.02,6.46,1
5.92,7.01,1
5.31,7.76,0
6.16,5.16,1
5.64,8.2,0
8.72,7.51,0
8.23,5.33,1
7.53,8.49,1
8.49,8.68,1
8.21,5.24,0
5.75,6.11,1
8.57,8.22,0
7.16,7.99,0
8.23,5.74,1
8.58,5.84,1
6.27,6.48,1
5.44,6.94,1
5.91,7.47,1
6.71,6.48,1
8.27,6.85,0
8.44,7.99,1
5.03,5.15,0
7.04,6.01,0
6.67,7.85,1
5.89,8.58,1
5.48,7.05,0
6.35,7.13,0
8.77,5.43,1
6.29,6.79,0
7.08,7.13,1
7.81,5.97,1
6.45,6.08,1
8.89,6.51,1
8.85,5.08,1
6.01,6.29,0
6.99,5.85,1
6.2,6.31,1
6.14,5.48,0
5.15,8.56,1
7.44,7.37,1
7.01,7.72,1
5.21,8.16,1
6.11,6.99,1
8.63,5.35,1
5.96,7.15,1
5.58,7.35,1
6.96,7.98,1
8.94,6.73,1
5.97,5.51,1
7.69,6.14,0
8.05,6.45,1
5.95,7.58,1
7.91,7.28,0
6.47,6.42,1
7.53,8.95,0
7.53,7.42,0
7.14,5.95,1
5.36,5.41,0
8.34,5.61,1
6.28,5.98,1
5.75,5.64,1
5.16,5.75,0
7.36,6.14,0
7.71,5.69,1
5.07,8.59,1
7.05,5.32,1
5.91,7.1,0
7.58,6.64,1
5.7,8.93,1
7.76,5.45,1
6.55,6.59,0
8.75,8.88,1
5.55,8.46,1
6.36,8.27,1
5.45,6.03,0
8.7,5.68,1
8.51,7.67,1
6.03,8.72,0
7.64,7.23,1
8.27,7.29,1
7.22,6.12,0
7.12,8.08,0
5.97,5.75,1
5.37,6.29,0
8.59,6.7,1
8.6,7.03,0
7.53,5.97,1
6.36,5.46,0
6.4,7.44,1
7.9,6.15,1
8.59,7.32,1
8.55,5.62,1
8.12,6.92,0
7.57,7.13,1
5.34,5.21,0
5.65,6.35,0
8.59,5.54,0
7.43,5.25,1
5.04,8.96,1
5.41,6.29,1
7.65,8.24,1
5.02,6.02,0
5.64,7.73,1
7.19,8.04,1
7.77,7.38,1
7.61,6.89,0
5.9,6.65,1
7.85,6.4,1
5.95,8.72,0
6.3,8.32,0
7.99,8.86,1
7.6,5.5,1
8.4,7.92,0
7.63,8.75,1
7.27,5.72,0
5.37,5.27,1
6.47,7.96,1
6.06,7.3,1
5.98,8.37,1
8.89,5.56,0
6.57,8.18,0
8.57,5.81,1
7.52,5.65,1
8.18,5.66,1
7.01,8.26,0
7.31,7.66,0
6.97,7.09,0
5.78,6.44,1
7.89,8.51,0
6.12,6.57,1
5.1,8.27,1
7.58,6.76,1
5.71,6.51,0
8.76,6.85,1
8.82,6.21,1
8.66,7.99,1
6.48,7.01,1
5.06,5.93,1
8.71,8.6,1
6.71,6.54,0
8.87,7.17,0
8.85,8.63,1
8.41,7.5,1
6.18,5.47,1
6.54,8.76,1
8.4,7.51,0
6.27,6.34,0
5.68,5.56,1
7.23,8.18,1
8.74,7.48,0
7.78,7.13,1
7.28,8.58,0
5.39,8.15,1
7.46,5.61,0
8.96,6.25,1
5.56,5.99,0
7.07,7.98,1
8.51,5.13,0
7.96,7.28,0
7.79,8.05,0
7.81,8.51,1
6.44,6.37,1
6.17,8.29,0
8.24,5.44,1
8.24,8.39,1
8.47,5.51,1
8.65,6.59,0
7.05,8.19,1
7.01,5.6,0
8.19,5.92,0
7.6,7.89,1
7.81,7.88,0
8.18,7.56,1
8.56,7.78,1
6.35,7.17,1
6.5,6.01,1
5.38,6.38,0
7.31,5.73,0
5.14,8.63,1
6.86,7.33,0
7.17,6.6,0
6.15,6.85,0
7.36,8.79,0
5.12,5.61,0
5.15,7.34,0
8.29,7.02,1
6.44,7.45,1
5.51,5.07,1
7.09,8.49,0
8.08,8.73,0
5.86,7.26,0
7.49,7.79,1
5.34,8.69,1
5.21,7.83,0
7.13,5.61,1
7.16,7.31,0
7.55,7.43,1
7.9,6.7,1
8.9,7.95,1
7.07,8.74,1
6.29,8.7,1
8.18,6.8,0
6.08,5.45,1
6.76,8.94,0
5.31,8.36,1
5.1,5.5,1
8.85,8.68,1
8.34,8.48,1
7.78,7.08,1
6.64,7.37,1
5.69,6.6,1
5.63,5.22,0
6.0,6.34,0
7.2,8.21,0
7.86,5.02,0
7.64,6.33,1
6.12,6.59,0
8.82,7.15,1
7.95,8.68,0
7.22,6.39,0
7.45,6.39,1
6.68,7.95,1
5.99,6.81,1
6.42,5.9,1
8.03,6.81,1
5.06,5.56,0
5.46,5.71,1
5.18,6.99,1
5.16,6.68,1
8.42,8.66,0
7.81,6.45,1
6.9,7.32,0
5.39,7.53,0
6.97,5.05,0
6.89,7.65,1
5.69,5.71,1
6.74,8.84,1
6.59,5.59,1
7.46,6.66,1
7.54,5.34,0
5.18,8.99,0
6.5,7.01,1
7.5,7.38,0
7.01,5.27,1
8.43,8.0,1
7.63,5.84,1
5.65,8.59,1
5.28,5.82,1
7.57,5.76,1
5.11,5.15,1
7.34,6.89,1
8.76,7.26,0
7.3,5.26,1
6.55,8.1,1
7.57,6.81,0
6.83,7.1,1
7.18,6.76,1
8.77,6.6,1
6.54,7.24,0
8.84,5.62,1
8.62,5.73,1
5.78,8.45,0
5.28,8.78,0
5.4,6.49,1
5.07,6.08,0
5.38,7.58,1
7.73,6.63,1
5.28,5.1,0
6.28,5.62,1
8.38,7.86,1
5.09,7.64,1
8.26,5.11,0
6.13,5.89,1
5.47,5.92,0
7.79,7.69,0
7.52,5.08,1
8.51,5.42,0
7.94,8.2,1
8.21,5.71,0
6.13,7.61,1
5.71,5.95,0
8.0,5.4,1
8.23,5.97,1
8.96,7.89,0
6.65,8.42,0
6.49,8.32,0
8.11,6.59,1
6.36,7.67,0
8.72,5.82,1
8.43,6.17,1
6.72,8.59,0
8.0,5.05,1
8.02,5.34,1
5.41,5.83,0
8.61,5.11,0
7.02,5.73,0
8.31,7.33,1
6.28,6.69,1
8.58,8.57,1
6.56,8.27,1
5.04,6.37,1
8.62,6.04,1
5.37,6.52,1
6.28,7.36,0
8.8,6.07,0
8.8,7.5,0
7.29,6.64,0
7.53,7.21,1
6.79,6.74,1
6.17,6.18,0
6.31,8.79,0
7.69,8.05,1
8.01,5.56,1
8.17,8.47,0
8.16,6.95,1
5.36,8.58,0
6.98,8.2,0
5.23,6.7,1
7.2,5.09,1
6.77,6.07,0
8.55,7.17,1
6.4,7.53,1
5.47,6.03,1
5.57,5.56,1
8.05,8.34,1
7.47,8.94,1
5.4,7.1,1
5.34,5.69,0
7.8,6.09,0
5.29,5.07,0
8.29,8.66,1
7.82,5.47,0
5.33,7.31,1
5.34,6.1,1
8.95,7.22,0
6.5,7.61,1
6.48,8.32,1
8.25,5.83,1
8.79,5.04,0
8.94,5.55,1
8.01,8.6,1
6.51,8.5,1
5.33,7.39,1
8.11,7.4,1
7.23,7.66,1
6.7,5.7,1
8.63,8.66,1
5.44,6.68,0
6.97,6.53,1
5.05,7.08,1
6.87,5.19,1
5.23,5.67,0
5.48,7.95,1
5.47,5.33,0
7.6,7.41,1
7.98,5.98,0
7.33,6.56,1
8.85,6.15,1
6.5,6.42,0
6.14,7.88,1
8.47,6.19,1
5.89,7.27,1
8.85,6.9,1
5.05,7.65,1
8.88,8.75,1
5.17,7.93,1
8.56,5.86,1
7.11,5.12,0
8.97,6.05,1
5.3,7.38,1
7.22,5.21,1
8.88,6.99,1
7.09,7.39,1
7.52,6.34,1
7.78,8.08,0
6.82,5.43,1
7.51,5.3,0
7.34,7.91,0
8.6,6.98,0
5.18,7.75,0
6.12,6.74,1
8.8,5.99,0
8.56,8.28,1
6.82,8.2,0
7.48,7.78,0
6.11,6.09,0
5.75,7.36,0
6.85,6.44,1
6.41,5.37,1
7.33,8.67,1
5.31,5.55,1
8.9,8.8,0
8.94,6.78,1
